index,anio,Mes,dia,viajes
435,2020,Dec,11,10596
436,2020,Dec,12,8243
437,2020,Dec,13,6466
438,2020,Dec,14,10244
439,2020,Dec,15,10846
440,2020,Dec,16,10979
441,2020,Dec,17,10472
442,2020,Dec,18,10928
443,2020,Dec,19,6229
444,2020,Dec,20,4780
445,2020,Dec,21,7527
446,2020,Dec,22,8043
447,2020,Dec,23,8047
448,2020,Dec,24,5333
449,2020,Dec,25,2519
450,2020,Dec,26,4377
451,2020,Dec,27,4038
452,2020,Dec,28,6468
453,2020,Dec,29,6555
454,2020,Dec,30,6826
455,2020,Dec,31,5135
456,2020,Feb,1,11555
457,2020,Feb,2,8852
458,2020,Feb,3,9172
459,2020,Feb,4,28892
460,2020,Feb,5,29838
461,2020,Feb,6,30292
462,2020,Feb,7,29260
463,2020,Feb,8,13353
464,2020,Feb,9,11567
465,2020,Feb,10,29289
466,2020,Feb,11,30702
467,2020,Feb,12,31087
468,2020,Feb,13,30313
469,2020,Feb,14,25571
470,2020,Feb,15,12424
471,2020,Feb,16,10980
472,2020,Feb,17,28940
473,2020,Feb,18,31232
474,2020,Feb,19,31244
475,2020,Feb,20,31146
476,2020,Feb,21,29661
477,2020,Feb,22,14674
478,2020,Feb,23,11329
479,2020,Feb,24,29573
480,2020,Feb,25,31388
481,2020,Feb,26,31189
482,2020,Feb,27,30114
483,2020,Feb,28,29757
484,2020,Feb,29,12929
485,2020,Jan,1,3872
486,2020,Jan,2,16376
487,2020,Jan,3,17757
488,2020,Jan,4,9420
489,2020,Jan,5,8812
490,2020,Jan,6,22343
491,2020,Jan,7,25155
492,2020,Jan,8,26381
493,2020,Jan,9,27320
494,2020,Jan,10,27183
495,2020,Jan,11,11839
496,2020,Jan,12,10683
497,2020,Jan,13,28526
498,2020,Jan,14,30641
499,2020,Jan,15,30114
500,2020,Jan,16,25638
501,2020,Jan,17,28200
502,2020,Jan,18,12228
503,2020,Jan,19,7969
504,2020,Jan,20,25023
505,2020,Jan,21,28153
506,2020,Jan,22,28722
507,2020,Jan,23,28812
508,2020,Jan,24,27945
509,2020,Jan,25,12587
510,2020,Jan,26,10682
511,2020,Jan,27,28761
512,2020,Jan,28,29951
513,2020,Jan,29,29694
514,2020,Jan,30,28933
515,2020,Jan,31,27210
516,2020,Jul,1,7358
517,2020,Jul,2,7997
518,2020,Jul,3,7383
519,2020,Jul,4,5720
520,2020,Jul,5,4242
521,2020,Jul,6,7288
522,2020,Jul,7,7416
523,2020,Jul,8,7727
524,2020,Jul,9,6926
525,2020,Jul,10,8510
526,2020,Jul,11,6679
527,2020,Jul,12,4976
528,2020,Jul,13,8137
529,2020,Jul,14,8389
530,2020,Jul,15,9016
531,2020,Jul,16,9018
532,2020,Jul,17,9019
533,2020,Jul,18,6637
534,2020,Jul,19,5964
535,2020,Jul,20,8669
536,2020,Jul,21,9235
537,2020,Jul,22,9397
538,2020,Jul,23,9441
539,2020,Jul,24,9709
540,2020,Jul,25,6717
541,2020,Jul,26,4991
542,2020,Jul,27,9317
543,2020,Jul,28,9871
544,2020,Jul,29,9291
545,2020,Jul,30,9140
546,2020,Jul,31,8632
547,2020,Jun,1,6151
548,2020,Jun,2,6408
549,2020,Jun,3,6275
550,2020,Jun,4,6274
551,2020,Jun,5,6720
552,2020,Jun,6,5165
553,2020,Jun,7,3963
554,2020,Jun,8,5480
555,2020,Jun,9,6088
556,2020,Jun,10,6553
557,2020,Jun,11,6234
558,2020,Jun,12,6752
559,2020,Jun,13,5410
560,2020,Jun,14,4584
561,2020,Jun,15,6695
562,2020,Jun,16,6964
563,2020,Jun,17,6861
564,2020,Jun,18,7025
565,2020,Jun,19,6880
566,2020,Jun,20,4667
567,2020,Jun,21,4210
568,2020,Jun,22,4903
569,2020,Jun,23,5638
570,2020,Jun,24,6341
571,2020,Jun,25,6112
572,2020,Jun,26,7282
573,2020,Jun,27,5723
574,2020,Jun,28,4780
575,2020,Jun,29,6133
576,2020,Jun,30,7463
577,2020,Mar,1,11222
578,2020,Mar,2,29472
579,2020,Mar,3,31711
580,2020,Mar,4,31479
581,2020,Mar,5,31289
582,2020,Mar,6,29034
583,2020,Mar,7,12800
584,2020,Mar,8,11911
585,2020,Mar,9,22999
586,2020,Mar,10,31144
587,2020,Mar,11,31609
588,2020,Mar,12,30985
589,2020,Mar,13,28082
590,2020,Mar,14,11216
591,2020,Mar,15,8491
592,2020,Mar,16,8360
593,2020,Mar,17,22169
594,2020,Mar,18,19509
595,2020,Mar,19,16830
596,2020,Mar,20,16231
597,2020,Mar,21,6527
598,2020,Mar,22,5815
599,2020,Mar,23,11798
600,2020,Mar,24,11407
601,2020,Mar,25,10655
602,2020,Mar,26,9655
603,2020,Mar,27,9570
604,2020,Mar,28,5947
605,2020,Mar,29,4151
606,2020,Mar,30,8108
607,2020,Mar,31,7806
608,2020,May,1,3711
609,2020,May,2,4205
610,2020,May,3,3505
611,2020,May,4,5359
612,2020,May,5,4611
613,2020,May,6,4563
614,2020,May,7,4594
615,2020,May,8,5064
616,2020,May,9,3668
617,2020,May,10,3151
618,2020,May,11,4722
619,2020,May,12,5239
620,2020,May,13,5319
621,2020,May,14,5324
622,2020,May,15,5735
623,2020,May,16,4306
624,2020,May,17,3748
625,2020,May,18,5181
626,2020,May,19,5583
627,2020,May,20,5036
628,2020,May,21,5210
629,2020,May,22,5384
630,2020,May,23,4435
631,2020,May,24,3950
632,2020,May,25,5807
633,2020,May,26,5848
634,2020,May,27,5636
635,2020,May,28,5358
636,2020,May,29,6264
637,2020,May,30,4715
638,2020,May,31,3264
639,2020,Nov,1,6059
640,2020,Nov,2,7815
