,anio,Mes,Dia,time_delta
97,2019,4,8,10.73
98,2019,4,9,11.03
99,2019,4,10,11.0
100,2019,4,11,11.03
101,2019,4,12,11.17
102,2019,4,13,10.53
103,2019,4,14,11.87
104,2019,4,15,10.73
105,2019,4,16,10.85
106,2019,4,17,10.77
107,2019,4,18,10.45
108,2019,4,19,10.39
109,2019,4,20,10.81
110,2019,4,21,12.0
111,2019,4,22,10.55
112,2019,4,23,10.88
113,2019,4,24,10.93
114,2019,4,25,10.97
115,2019,4,26,10.9
116,2019,4,27,20.67
117,2019,4,28,11.42
118,2019,4,29,10.5
119,2019,4,30,10.92
120,2019,5,1,9.95
121,2019,5,2,11.0
122,2019,5,3,11.0
123,2019,5,4,10.35
124,2019,5,5,11.4
125,2019,5,6,10.82
126,2019,5,7,11.1
127,2019,5,8,11.07
128,2019,5,9,11.18
129,2019,5,10,10.97
130,2019,5,11,10.32
131,2019,5,12,11.2
132,2019,5,13,10.83
133,2019,5,14,10.82
134,2019,5,15,10.5
135,2019,5,16,10.02
136,2019,5,17,10.52
137,2019,5,18,10.13
138,2019,5,19,11.17
139,2019,5,20,10.72
140,2019,5,21,10.87
141,2019,5,22,10.95
142,2019,5,23,10.88
143,2019,5,24,11.1
144,2019,5,25,10.57
145,2019,5,26,11.67
146,2019,5,27,10.98
147,2019,5,28,11.17
148,2019,5,29,11.08
149,2019,5,30,11.0
150,2019,5,31,11.15
151,2019,6,1,10.2
152,2019,6,2,11.27
153,2019,6,3,10.73
154,2019,6,4,10.68
155,2019,6,5,10.68
156,2019,6,6,10.8
157,2019,6,7,11.12
158,2019,6,8,10.825
159,2019,6,9,12.1
160,2019,6,10,10.9
161,2019,6,11,11.12
162,2019,6,12,11.08
163,2019,6,13,10.78
164,2019,6,14,11.23
165,2019,6,15,10.43
166,2019,6,16,11.37
167,2019,6,17,10.77
168,2019,6,18,10.7
169,2019,6,19,10.92
170,2019,6,20,10.77
171,2019,6,21,11.3
172,2019,6,22,10.62
173,2019,6,23,12.37
174,2019,6,24,10.9
175,2019,6,25,10.92
176,2019,6,26,10.9
177,2019,6,27,10.98
178,2019,6,28,11.12
179,2019,6,29,11.32
180,2019,6,30,11.7
181,2019,7,1,10.88
182,2019,7,2,10.97
183,2019,7,3,10.92
184,2019,7,4,10.77
185,2019,7,5,11.22
186,2019,7,6,10.25
187,2019,7,7,11.8
188,2019,7,8,10.22
189,2019,7,9,10.98
190,2019,7,10,10.78
191,2019,7,11,10.98
192,2019,7,12,11.25
193,2019,7,13,10.67
194,2019,7,14,11.93
195,2019,7,15,10.78
196,2019,7,16,10.82
197,2019,7,17,11.08
198,2019,7,18,10.67
199,2019,7,19,11.03
200,2019,7,20,10.39
201,2019,7,21,11.85
202,2019,7,22,10.83
203,2019,7,23,10.72
204,2019,7,24,10.9
205,2019,7,25,10.28
206,2019,7,26,10.58
207,2019,7,27,10.65
208,2019,7,28,12.5
209,2019,7,29,10.82
210,2019,7,30,11.05
211,2019,7,31,10.92
212,2019,8,1,11.2
213,2019,8,2,11.3
214,2019,8,3,10.7
215,2019,8,4,12.18
216,2019,8,5,10.42
217,2019,8,6,10.7
218,2019,8,7,10.82
219,2019,8,8,11.32
220,2019,8,9,11.02
221,2019,8,10,10.45
222,2019,8,11,12.22
223,2019,8,12,10.87
224,2019,8,13,10.97
225,2019,8,14,11.15
226,2019,8,15,11.0
227,2019,8,16,11.13
228,2019,8,17,10.38
229,2019,8,18,11.95
230,2019,8,19,10.75
231,2019,8,20,11.05
232,2019,8,21,11.02
233,2019,8,22,10.77
234,2019,8,23,11.02
235,2019,8,24,10.57
