,anio,Mes,Dia,location_dist
87,2021,3,7,7024.64
88,2021,3,8,12584.65
89,2021,3,9,13410.22
90,2021,3,10,12092.63
91,2021,3,11,13658.59
92,2021,3,12,13250.29
93,2021,3,13,9347.21
94,2021,3,14,7185.64
95,2021,3,15,7950.88
96,2021,3,16,13511.51
97,2021,3,17,13793.16
98,2021,3,18,12465.37
99,2021,3,19,13527.51
100,2021,3,20,9685.76
101,2021,3,21,8197.64
102,2021,3,22,12923.69
103,2021,3,23,13939.43
104,2021,3,24,13996.72
105,2021,3,25,14289.72
106,2021,3,26,13958.75
107,2021,3,27,9551.43
108,2021,3,28,8423.4
109,2021,3,29,12428.03
110,2021,3,30,12959.18
111,2021,3,31,12959.98
112,2021,4,1,9349.82
113,2021,4,2,7805.62
114,2021,4,3,7895.67
115,2021,4,4,7497.26
116,2021,4,5,12412.93
117,2021,4,6,12787.48
118,2021,4,7,14478.32
119,2021,4,8,13777.9
120,2021,4,9,12915.19
121,2021,4,10,9657.02
122,2021,4,11,8370.54
123,2021,4,12,12786.03
124,2021,4,13,13061.45
125,2021,4,14,14814.01
126,2021,4,15,14775.77
127,2021,4,16,14130.32
128,2021,4,17,10232.72
129,2021,4,18,8681.34
130,2021,4,19,13696.21
131,2021,4,20,14931.92
132,2021,4,21,14449.74
133,2021,4,22,14962.3
134,2021,4,23,14706.38
135,2021,4,24,9378.21
136,2021,4,25,8286.58
137,2021,4,26,13670.64
138,2021,4,27,13847.54
139,2021,4,28,13696.76
140,2021,4,29,14372.03
141,2021,4,30,14358.66
142,2021,5,1,9677.19
143,2021,5,2,8495.02
144,2021,5,3,14625.59
145,2021,5,4,15006.2
146,2021,5,5,11403.14
147,2021,5,6,15626.24
148,2021,5,7,15475.22
149,2021,5,8,10165.7
150,2021,5,9,8067.63
151,2021,5,10,12295.79
152,2021,5,11,13870.72
153,2021,5,12,12943.82
154,2021,5,13,14904.75
155,2021,5,14,14287.98
156,2021,5,15,9482.64
157,2021,5,16,8104.81
158,2021,5,17,12923.64
159,2021,5,18,13977.99
160,2021,5,19,15475.59
161,2021,5,20,15032.2
162,2021,5,21,14935.44
163,2021,5,22,9779.8
164,2021,5,23,8908.63
165,2021,5,24,13065.05
166,2021,5,25,14156.08
167,2021,5,26,15232.7
168,2021,5,27,15962.15
169,2021,5,28,14987.06
170,2021,5,29,10007.34
171,2021,5,30,8783.27
172,2021,5,31,14813.02
173,2021,6,1,32036.59
174,2021,6,2,28230.46
175,2021,6,3,26776.04
176,2021,6,4,26769.87
177,2021,6,5,20775.24
178,2021,6,6,20508.21
179,2021,6,7,31204.52
180,2021,6,8,31826.46
181,2021,6,9,28991.33
182,2021,6,10,31850.61
183,2021,6,11,29857.44
184,2021,6,12,18436.74
185,2021,6,13,17050.2
186,2021,6,14,27995.01
187,2021,6,15,33634.98
188,2021,6,16,33809.31
189,2021,6,17,32123.45
190,2021,6,18,23313.86
191,2021,6,19,18936.07
192,2021,6,20,17311.13
193,2021,6,21,27877.85
194,2021,6,22,27553.17
195,2021,6,23,32021.23
196,2021,6,24,29160.69
197,2021,6,25,27420.83
198,2021,6,26,21466.64
199,2021,6,27,11881.18
200,2021,6,28,28595.55
201,2021,6,29,27342.66
202,2021,6,30,25916.69
203,2021,7,1,28873.79
204,2021,7,2,23172.27
205,2021,7,3,19023.36
206,2021,7,4,17628.19
207,2021,7,5,24227.76
208,2021,7,6,30420.97
209,2021,7,7,30745.36
210,2021,7,8,28980.38
211,2021,7,9,30255.49
212,2021,7,10,18271.56
213,2021,7,11,18525.59
214,2021,7,12,29663.61
215,2021,7,13,25910.55
216,2021,7,14,27419.0
217,2021,7,15,27748.8
218,2021,7,16,28941.31
219,2021,7,17,19248.51
220,2021,7,18,17132.13
221,2021,7,19,25787.44
222,2021,7,20,26433.09
223,2021,7,21,26733.63
224,2021,7,22,25767.7
225,2021,7,23,27846.97
226,2021,7,24,17896.67
227,2021,7,25,16428.44
228,2021,7,26,23223.85
229,2021,7,27,28292.85
230,2021,7,28,25992.38
231,2021,7,29,28259.9
232,2021,7,30,23122.14
233,2021,7,31,16175.52
234,2021,8,1,11.66
235,2021,8,2,14.55
236,2021,8,3,5.63
237,2021,8,4,3.6
238,2021,8,5,7.529999999999999
239,2021,8,6,10.379999999999999
240,2021,8,7,5.01
241,2021,8,8,18.45
242,2021,8,9,1.05
243,2021,8,10,5.65
244,2021,8,11,16.71
245,2021,8,12,4.04
246,2021,8,13,2.62
247,2021,8,14,2.61
248,2021,8,15,4.779999999999999
249,2021,8,16,4.61
250,2021,8,17,9.55
251,2021,8,18,0.0
252,2021,8,19,6.11
253,2021,8,20,3.79
254,2021,8,21,1.45
255,2021,8,22,1.09
256,2021,8,23,4.1
257,2021,8,24,4.11
258,2021,8,25,9.99
259,2021,8,26,7.609999999999999
260,2021,8,27,4.0
261,2021,8,28,0.0
262,2021,8,29,2.08
263,2021,8,30,9.25
264,2021,8,31,25.759999999999998
265,2021,9,1,11752.47
266,2021,9,2,10476.92
267,2021,9,3,11135.58
268,2021,9,4,9219.91
269,2021,9,5,7431.16
270,2021,9,6,10804.91
271,2021,9,7,9025.23
272,2021,9,8,13534.27
273,2021,9,9,14447.58
274,2021,9,10,14192.24
275,2021,9,11,9118.86
276,2021,9,12,7795.73
277,2021,9,13,13696.08
278,2021,9,14,15048.85
279,2021,9,15,13328.26
280,2021,9,16,5787.64
281,2021,9,17,10098.79
282,2021,9,18,8200.39
283,2021,9,19,7213.09
284,2021,9,20,13652.25
285,2021,9,21,15201.07
286,2021,9,22,15179.16
287,2021,9,23,14779.08
288,2021,9,24,14840.5
289,2021,9,25,9018.57
290,2021,9,26,8577.71
291,2021,9,27,13705.05
292,2021,9,28,15734.97
293,2021,9,29,15659.37
294,2021,9,30,14283.28
295,2021,10,1,13400.93
296,2021,10,2,10207.96
297,2021,10,3,7856.28
298,2021,10,4,14629.63
299,2021,10,5,13328.24
300,2021,10,6,14080.2
301,2021,10,7,15096.33
302,2021,10,8,15261.57
303,2021,10,9,9929.66
304,2021,10,10,9332.89
305,2021,10,11,15446.79
306,2021,10,12,16344.43
307,2021,10,13,16865.72
308,2021,10,14,16069.17
309,2021,10,15,16209.62
310,2021,10,16,10102.34
311,2021,10,17,8557.77
312,2021,10,18,15631.07
313,2021,10,19,17014.63
314,2021,10,20,17173.85
315,2021,10,21,15878.13
316,2021,10,22,15507.27
317,2021,10,23,10136.99
318,2021,10,24,8788.46
319,2021,10,25,16297.53
320,2021,10,26,17140.3
321,2021,10,27,17498.54
322,2021,10,28,15808.52
323,2021,10,29,16788.67
324,2021,10,30,10284.75
325,2021,10,31,10046.58
326,2021,11,1,14102.1
327,2021,11,2,12126.23
328,2021,11,3,18231.44
329,2021,11,4,17329.06
330,2021,11,5,17259.43
331,2021,11,6,10290.38
332,2021,11,7,9364.62
333,2021,11,8,16462.58
334,2021,11,9,18293.41
335,2021,11,10,18250.12
336,2021,11,11,17907.62
337,2021,11,12,17853.78
338,2021,11,13,9933.34
339,2021,11,14,9108.09
340,2021,11,15,9172.89
341,2021,11,16,17410.65
342,2021,11,17,17842.09
343,2021,11,18,17616.76
344,2021,11,19,17134.91
345,2021,11,20,11073.03
346,2021,11,21,9933.45
347,2021,11,22,16760.05
348,2021,11,23,17970.41
349,2021,11,24,18116.84
350,2021,11,25,17904.25
351,2021,11,26,17738.34
352,2021,11,27,10469.69
353,2021,11,28,9898.83
354,2021,11,29,17267.8
355,2021,11,30,18088.8
356,2021,12,1,39172.75
357,2021,12,2,38110.8
358,2021,12,3,36415.45
359,2021,12,4,21893.73
360,2021,12,5,20660.98
361,2021,12,6,36192.59
362,2021,12,7,38940.01
363,2021,12,8,40162.65
364,2021,12,9,38177.38
365,2021,12,10,36992.68
366,2021,12,11,22855.56
367,2021,12,12,20731.32
368,2021,12,13,35550.59
369,2021,12,14,38205.8
370,2021,12,15,38709.06
371,2021,12,16,38817.73
372,2021,12,17,36971.52
373,2021,12,18,21832.88
374,2021,12,19,19534.42
375,2021,12,20,31278.29
376,2021,12,21,32726.99
377,2021,12,22,31997.76
378,2021,12,23,28767.84
379,2021,12,24,17300.48
380,2021,12,25,8054.24
381,2021,12,26,14281.0
382,2021,12,27,24026.7
383,2021,12,28,25802.95
384,2021,12,29,25044.66
385,2021,12,30,23488.52
386,2021,12,31,17158.14
